time,addr,symbol,mint_auth,freeze_auth,top1,top5,top10,top10_ex1
2026-07-14 19:39,9KGerG8XQC6NvaawdDkpDUrrtSKQeeUAc3upRZxgpump,ROBINSAHUR,False,False,12.4,19.8,23.8,11.9
2026-07-14 19:41,9w47d5K1Whg4HoGFtk7L9XXV1P95tpuz6ehZSfaRpump,CATTEARS,False,False,10.1,17.7,24.8,15.6
2026-07-14 19:46,4p37V4YA54Jou7k3TWnwxeDXqtB9BQRik6NL3noJpump,MIM,False,False,18.5,24.9,29.7,12.0
2026-07-14 19:51,7p1uCL7XRwHxe6cNgU5HfxLnZf289w7jUdwdBvcQpump,CLAYNO,False,False,58.0,65.5,72.6,15.6
2026-07-14 19:58,G9j8WWDeJXZdvwQgP82ooDuHmpc3Gy8NCSins71Lpump,BULLCAT,False,False,7.5,17.3,26.7,20.9
2026-07-14 20:04,HneHm8fkWHVYiWdYzbLHjzQUAUAztSTVDCUr2bngpump,Lettuce,False,False,24.5,37.3,48.1,25.5
2026-07-14 20:06,GUkMvcxXPv5BesCVMah9nYs6v3xyxB2whGuchUMipump,Hummingbird,False,False,24.2,32.8,39.2,16.2
2026-07-14 20:16,AX53bBV3fTP9QhKj2CL5USk3Z8moGmmVo7eYV1aDpump,BBC,False,False,18.5,30.4,38.3,21.4
2026-07-14 20:21,BgVMUdzzKUAgjrKmLTT9aKXJUoew9YAqHrJUfs7xpump,Peigengoo,False,False,25.1,35.7,44.8,21.4
2026-07-14 20:28,67bcCSayvbcZCeQpbNM6XaqjCcjjZSDhAkAQ3xEPpump,MAGABOB,False,False,8.2,15.2,22.1,15.1
2026-07-14 20:39,AWiaGsus1cVJmFYkp8akfq8ZDsh9dUWuXcdLv7ZXpump,MAGACOIN,False,False,10.1,11.1,12.3,2.5
2026-07-14 21:04,JEJXzgm86NQkHnFKR9tum8pr8QzLRQbDDtRg3gCvpump,Organism,False,False,25.3,37.5,50.6,27.6
2026-07-14 21:09,7HzU2RsqF7C7UJujwmRL7VH5aYgpz9qZyoAnKW3Tpump,BULLCOIN,False,False,19.8,33.1,42.0,23.7
2026-07-14 21:33,3pY7axDMKpZ8rQM5XSRGsKLLJBjLVQgVDRVNJpXPpump,COBBLER,False,False,23.4,27.8,32.8,10.4
2026-07-14 21:34,3nHMt7NCbQNn5YCY9cL8TgpW7FuVuLvDSFkUrE2opump,$PMT,False,False,17.3,57.8,75.0,59.8
2026-07-14 21:41,CHFSFUY7uNy37MWAVyeLn6ztrCpvK1uRiDCsjkSGpump,Kairos,False,False,20.3,29.6,38.0,19.3
2026-07-14 22:03,5GgY77Uti2d6VSAT2WW27d7UA2yBC7PMm2iepjmtJuwv,HUMBIT,False,False,20.5,33.5,46.1,27.4
2026-07-14 22:15,qDsHeuhiJk4yi8mFvWcACBxmyEYivqdH9fxQnBtpump,HOLY,False,False,27.1,34.0,39.0,12.9
2026-07-14 22:25,F9LZ9iTYMSPpqGPVUWMod9Fb8HWmARtZgwdnzTLrpump,SYDNEY,False,False,25.0,35.7,45.5,22.3
2026-07-14 22:42,6x6e62trbY49ryhn8dh1x6Cfp4QJz3pCgoMa5tCtpump,MBOOPE,False,False,30.5,42.0,51.1,21.9
2026-07-14 22:43,BtUk8nED8FgrSqGhVBXaSq8jqutqNMnhZCFJYzyHpump,BULLDOG,False,False,30.4,51.4,55.4,25.7
2026-07-14 23:11,FgtjHkqPmzV4gqHg2xMeUqRiQvuPgREn9sQbsKnSpump,bullpost,False,False,25.2,34.8,43.6,19.9
