time,variant,addr,symbol,price,liq,entry,peak_pct
2026-07-23 23:16:01,v12,BSXiu8inwqoaxurr4ynnN17mQKD2ViBsV3aHco2Rpump,RACHUA,0.004542,167370.91,0.004664,20.97
2026-07-23 23:16:22,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.000247,36469.09,0.0001804,47.23
2026-07-23 23:16:22,v12,BSXiu8inwqoaxurr4ynnN17mQKD2ViBsV3aHco2Rpump,RACHUA,0.004642,169249.83,0.004664,20.97
2026-07-23 23:16:42,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.000247,36469.09,0.0001804,47.23
2026-07-23 23:16:42,v12,BSXiu8inwqoaxurr4ynnN17mQKD2ViBsV3aHco2Rpump,RACHUA,0.004642,169249.83,0.004664,20.97
2026-07-23 23:17:02,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002344,35497.57,0.0001804,47.23
2026-07-23 23:17:02,v12,BSXiu8inwqoaxurr4ynnN17mQKD2ViBsV3aHco2Rpump,RACHUA,0.005112,177727.77,0.004664,20.97
2026-07-23 23:17:22,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002344,35497.57,0.0001804,47.23
2026-07-23 23:17:22,v12,BSXiu8inwqoaxurr4ynnN17mQKD2ViBsV3aHco2Rpump,RACHUA,0.005112,177727.77,0.004664,20.97
2026-07-23 23:17:42,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002337,35442.19,0.0001804,47.23
2026-07-23 23:17:42,v12,BSXiu8inwqoaxurr4ynnN17mQKD2ViBsV3aHco2Rpump,RACHUA,0.005028,176308.39,0.004664,20.97
2026-07-23 23:18:03,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002337,35442.19,0.0001804,47.23
2026-07-23 23:18:03,v12,BSXiu8inwqoaxurr4ynnN17mQKD2ViBsV3aHco2Rpump,RACHUA,0.005028,176308.39,0.004664,20.97
2026-07-23 23:18:23,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002527,36911.51,0.0001804,47.23
2026-07-23 23:18:23,v12,BSXiu8inwqoaxurr4ynnN17mQKD2ViBsV3aHco2Rpump,RACHUA,0.004753,171473.54,0.004664,20.97
2026-07-23 23:18:48,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002527,36911.51,0.0001804,47.23
2026-07-23 23:18:48,v12,BSXiu8inwqoaxurr4ynnN17mQKD2ViBsV3aHco2Rpump,RACHUA,0.004753,171473.54,0.004664,20.97
2026-07-23 23:19:08,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002556,37131.35,0.0001804,47.23
2026-07-23 23:19:08,v12,BSXiu8inwqoaxurr4ynnN17mQKD2ViBsV3aHco2Rpump,RACHUA,0.004595,168622.22,0.004664,20.97
2026-07-23 23:19:28,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002556,37131.35,0.0001804,47.23
2026-07-23 23:19:28,v12,BSXiu8inwqoaxurr4ynnN17mQKD2ViBsV3aHco2Rpump,RACHUA,0.004595,168622.22,0.004664,20.97
2026-07-23 23:19:49,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002661,37916.15,0.0001804,47.51
2026-07-23 23:19:49,v12,BSXiu8inwqoaxurr4ynnN17mQKD2ViBsV3aHco2Rpump,RACHUA,0.004645,169582.34,0.004664,20.97
2026-07-23 23:20:09,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002661,37916.15,0.0001804,47.51
2026-07-23 23:20:09,v12,BSXiu8inwqoaxurr4ynnN17mQKD2ViBsV3aHco2Rpump,RACHUA,0.004645,169582.34,0.004664,20.97
2026-07-23 23:20:29,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002725,38370.14,0.0001804,51.05
2026-07-23 23:20:30,v12,BSXiu8inwqoaxurr4ynnN17mQKD2ViBsV3aHco2Rpump,RACHUA,0.005068,177151.09,0.004664,20.97
2026-07-23 23:20:50,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002725,38370.14,0.00020330438378825477,34.04
2026-07-23 23:20:50,v12,BSXiu8inwqoaxurr4ynnN17mQKD2ViBsV3aHco2Rpump,RACHUA,0.005068,177151.09,0.004664,20.97
2026-07-23 23:21:10,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002668,37959.81,0.00020330438378825477,34.04
2026-07-23 23:21:10,v12,BSXiu8inwqoaxurr4ynnN17mQKD2ViBsV3aHco2Rpump,RACHUA,0.004936,174824.65,0.004664,20.97
2026-07-23 23:21:30,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002668,37959.81,0.00020330438378825477,34.04
2026-07-23 23:21:30,v12,BSXiu8inwqoaxurr4ynnN17mQKD2ViBsV3aHco2Rpump,RACHUA,0.004936,174824.65,0.004664,20.97
2026-07-23 23:21:50,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002707,38251.21,0.00020330438378825477,34.04
2026-07-23 23:21:50,v12,BSXiu8inwqoaxurr4ynnN17mQKD2ViBsV3aHco2Rpump,RACHUA,0.004954,175218.29,0.004664,20.97
2026-07-23 23:22:11,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002707,38251.21,0.00020330438378825477,34.04
2026-07-23 23:22:11,v12,BSXiu8inwqoaxurr4ynnN17mQKD2ViBsV3aHco2Rpump,RACHUA,0.004954,175218.29,0.004664,20.97
2026-07-23 23:22:31,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002725,38384.04,0.00020330438378825477,34.04
2026-07-23 23:22:31,v12,BSXiu8inwqoaxurr4ynnN17mQKD2ViBsV3aHco2Rpump,RACHUA,0.004564,168160.49,0.004664,20.97
2026-07-23 23:22:51,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002725,38384.04,0.00020330438378825477,34.04
2026-07-23 23:22:51,v12,BSXiu8inwqoaxurr4ynnN17mQKD2ViBsV3aHco2Rpump,RACHUA,0.004564,168160.49,0.004664,20.97
2026-07-23 23:23:11,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002733,38444.41,0.00020330438378825477,34.43
2026-07-23 23:23:11,v12,BSXiu8inwqoaxurr4ynnN17mQKD2ViBsV3aHco2Rpump,RACHUA,0.004744,171520.43,0.004664,20.97
2026-07-23 23:23:31,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.0002733,38444.41,0.00020330438378825477,34.43
2026-07-23 23:23:31,v12,BSXiu8inwqoaxurr4ynnN17mQKD2ViBsV3aHco2Rpump,RACHUA,0.004744,171520.43,0.004664,20.97
2026-07-23 23:23:52,v12,FNS1uTEXGCCZXYzGgzemxsFxjDowGbLpmAJ1Ehdupump,FROST,0.000275,38571.58,0.00020330438378825477,35.27
2026-07-23 23:23:52,v12,BSXiu8inwqoaxurr4ynnN17mQKD2ViBsV3aHco2Rpump,RACHUA,0.004492,166910.47,0.004664,20.97
